Timestamp,Memory Usage (MB),Power Usage (W)
1733747024.582453,2809.0,94.46
1733747024.6556263,2809.0,94.24
1733747024.7283292,2809.0,94.24
1733747024.7999122,2809.0,95.57
1733747024.871227,2809.0,96.22
1733747024.9450922,2809.0,96.22
1733747025.0159576,2809.0,96.46
1733747025.090708,2809.0,97.57
1733747025.1633852,2810.0,97.77
1733747025.2368999,2810.0,97.77
1733747025.311509,2809.0,98.62
1733747025.3840044,2809.0,99.27
1733747025.4571114,2809.0,99.49
1733747025.5288823,2809.0,99.49
1733747025.5995204,2809.0,99.86
1733747025.6726735,2809.0,100.61
1733747025.7459214,2809.0,100.61
1733747025.816025,2809.0,100.43
1733747025.8890986,2809.0,100.88
1733747025.9601722,2809.0,100.42
1733747026.0310187,2809.0,100.42
1733747026.1057615,2809.0,100.86
1733747026.1782434,2810.0,101.02
1733747026.2494054,2809.0,101.02
1733747026.3274584,2809.0,100.37
1733747026.3980165,2809.0,100.52
